edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,,,0 1 2 3 6 8 9,7,3,0,5,0.8163265306122448,81.63265306122447,0.002834467120181406,0.8639455782312926,0.8888888888888888,0.7744519962230397,2.9761904761904754,3,5,21,100,"100,200,300",0.11622807017543861,76,129,1.6973684210526316,6,76,76,98,0,,41,0.534985354947244,0.6785714285714286,0.2698412698412699,92,16,29,0.6744602456367162,114.28571428571426,0.11622807017543861,4,4,3,"0,1,2,3,6,8,9",12-847,0 1 2 3 6 8 9,12-847,0 2 4 6 12 16 18,24-331861,3 3 2 1 1 1 1,15
12,,,0 1 2 4 5 6 7,7,3,0,5,1.0204081632653061,102.04081632653062,0.007369614512471649,0.8299319727891157,0.7407407407407407,0.6152970531311422,4.761904761904761,3,4,21,100,"100,200,500",0.0928270042194093,79,123,1.5569620253164558,6,79,79,90,0,,49,0.6193717178835848,0.4642857142857143,0.33333333333333337,84,55,20,0.7176929392446634,171.42857142857142,0.0928270042194093,5,4,1,"0,1,2,4,5,6,7",12-247,0 1 2 4 5 6 7,12-247,0 2 4 8 10 12 14,24-21781,5 2 1 1 1 1 1,6
12,,,0 1 2 4 5 6 8,7,3,0,5,0.8163265306122448,81.63265306122447,0.004818594104308386,0.8639455782312926,0.8148148148148148,0.7318065577501445,3.9047619047619047,2,5,21,100,"100,200,400",0.0905349794238683,81,125,1.5432098765432098,6,81,81,98,1,6,53,0.5677112202022668,0.5428571428571429,0.2857142857142857,90,38,26,0.6737518037518038,142.85714285714283,0.0905349794238683,4,3,3,"0,1,2,4,5,6,8",12-375,0 1 2 4 5 6 8,12-375,0 2 4 8 10 12 16,24-70933,4 2 2 1 1 1 1,15
12,,,0 1 2 4 5 6 9,7,3,0,5,0.8163265306122448,81.63265306122447,0.003968253968253965,0.8639455782312926,0.8888888888888888,0.7744519962230396,3.642857142857143,2,4,21,100,"100,200,300",0.08958333333333335,80,123,1.5375,6,80,80,99,1,6,53,0.5450799425997851,0.5785714285714285,0.23809523809523814,96,26,33,0.6797619047619048,128.57142857142856,0.08958333333333335,4,4,6,"0,1,2,4,5,6,9",12-631,0 1 2 4 5 6 9,12-631,0 2 4 8 10 12 18,24-267541,3 3 2 1 1 1 1,15
12,,,0 1 2 4 5 7 8,7,3,0,5,0.8163265306122449,81.63265306122449,0.003401360544217685,0.8639455782312925,0.8148148148148148,0.7318065577501444,3.2142857142857144,2,6,21,100,"100,200,400",0.07843137254901962,85,125,1.4705882352941178,6,85,85,98,0,,58,0.54360585795377,0.6357142857142857,0.2857142857142857,90,27,24,0.67994227994228,128.57142857142856,0.07843137254901962,4,4,4,"0,1,2,4,5,7,8",12-439,0 1 2 4 5 7 8,12-439,0 2 4 8 10 14 16,24-83221,4 2 2 1 1 1 1,15
12,,,0 1 2 4 5 7 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.002267573696145122,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.952380952380952,2,5,21,100,"100,200,300",0.08641975308641976,81,123,1.5185185185185186,6,81,81,104,1,6,55,0.5176585929448488,0.6857142857142857,0.2222222222222222,98,9,35,0.6485714285714286,114.28571428571426,0.08641975308641976,3,5,5,"0,1,2,4,5,7,9",12-695,0 1 2 4 5 7 9,12-695,0 2 4 8 10 14 18,24-279829,3 2 2 2 1 1 1,20
12,,,0 1 2 4 5 8 9,7,3,0,5,0.8163265306122449,81.63265306122449,0.002267573696145124,0.8639455782312925,0.8888888888888888,0.7744519962230397,2.761904761904762,2,6,21,100,"100,200,300",0.11936936936936937,74,127,1.7162162162162162,6,74,74,97,2,"2,6",52,0.5160184918536548,0.7142857142857143,0.2857142857142857,90,7,33,0.6837301587301587,99.99999999999999,0.11936936936936937,4,4,7,"0,1,2,4,5,8,9",12-823,0 1 2 4 5 8 9,12-823,0 2 4 8 10 16 18,24-328981,3 3 2 1 1 1 1,15
12,,,0 1 2 4 6 7 8,7,3,0,5,0.8163265306122449,81.63265306122449,0.0031179138321995453,0.8639455782312925,0.8148148148148148,0.7318065577501444,3.142857142857143,2,4,21,100,"100,200,400",0.11255411255411256,77,129,1.6753246753246753,6,77,77,100,0,,46,0.5491028860886215,0.6357142857142857,0.23809523809523814,96,16,35,0.6660889685027616,114.28571428571429,0.11255411255411256,4,4,2,"0,1,2,4,6,7,8",12-471,0 1 2 4 6 7 8,12-471,0 2 4 8 12 14 16,24-86293,4 2 2 1 1 1 1,15
12,,,0 1 2 4 6 7 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.0017006802721088415,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.6666666666666665,2,5,21,100,"100,200,300",0.08958333333333335,80,123,1.5375,6,80,80,99,0,,52,0.5132539257055901,0.7714285714285715,0.2698412698412699,92,4,28,0.6666089466089467,100,0.08958333333333335,3,5,5,"0,1,2,4,6,7,9",12-727,0 1 2 4 6 7 9,12-727,0 2 4 8 12 14 18,24-282901,3 2 2 2 1 1 1,20
12,,,0 1 2 4 6 8 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.001417233560090703,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.476190476190476,2,4,21,100,"100,200,300",0.0905349794238683,81,125,1.5432098765432098,6,81,81,96,0,,53,0.5068879196913849,0.8285714285714285,0.31746031746031744,86,2,22,0.6913586413586413,85.71428571428571,0.0905349794238683,3,4,5,"0,1,2,4,6,8,9",12-855,0 1 2 4 6 8 9,12-855,0 2 4 8 12 16 18,24-332053,3 2 2 2 1 1 1,20
