edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,EOS_sqrt,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members,largest_error,mean_error
24,,Unique,0 4 6 10 14 17 20,7,3,0,11,0.6530612244897959,32.6530612244898,0.00035430839002267546,0.01882308131052606,0.9455782312925171,0.9444444444444444,0.8559854460070278,4.523809523809523,1,5,21,100,"100,150,200",0.05311355311355311,91,120,1.3186813186813187,8,91,91,91,1,2,72,0.48914396251789016,1,0.3650793650793651,80,0,0,0.7247619047619047,35.714285714285715,1,5,4,"0,2,6,10,13,16,20",24-1123397,,24-1123397,0 4 6 10 14 17 20,24-1123397,4 4 4 4 3 3 2,15,0,0
24,,Unique,0 4 7 10 14 18 20,7,3,0,11,0.6530612244897959,32.6530612244898,0.00035430839002267573,0.01882308131052607,0.9455782312925171,0.9444444444444444,0.8559854460070278,4.523809523809524,1,5,21,100,"100,150,200",0.05311355311355311,91,120,1.3186813186813187,8,91,91,91,1,2,72,0.48914396251789016,1,0.3650793650793651,80,0,0,0.7247619047619047,35.714285714285715,1,5,4,"0,2,6,10,13,16,20",24-1123397,,24-1123397,0 4 7 10 14 18 20,24-1123397,4 4 4 4 3 3 2,15,0,0
24,,Unique,0 2 5 11 14 16 19,7,4,0,11,1.1836734693877553,59.18367346938776,0.0015589569160997733,0.0394836284566119,0.9013605442176871,0.875,0.8096603746567449,5.547619047619047,1,7,21,100,"100,150,250,300",0.03104575163398693,102,121,1.1862745098039216,10,102,102,108,4,"6,7,8,12",86,0.5164942885614174,0.8642857142857143,0.19047619047619047,102,10,9,0.6223214285714286,85.71428571428571,2,3,1,"0,3,5,8,13,15,18",24-303401,,24-303401,0 2 5 11 14 16 19,24-303401,6 5 3 3 3 2 2,60,22,7.857142857142857
24,,Unique,0 3 9 11 14 16 22,7,3,0,11,1.469387755102041,73.46938775510205,0.001842403628117913,0.042923229469809386,0.8775510204081632,0.8703703703703703,0.7821213798609206,5.452380952380952,1,7,21,100,"100,150,300",0.05311355311355311,91,120,1.3186813186813187,9,91,91,91,3,"7,9,10",69,0.5200295339872179,0.8571428571428572,0.33333333333333337,84,20,0,0.713095238095238,85.71428571428571,3,1,0,"0,2,5,7,13,15,18",24-303269,,24-303269,0 3 9 11 14 16 22,24-303269,6 6 3 3 2 2 2,30,25,11
24,,Unique,0 3 6 11 14 16 20,7,4,0,11,0.7755102040816324,38.77551020408162,0.000637755102040816,0.02525381361380526,0.935374149659864,0.9166666666666666,0.8465924077297985,4.738095238095238,1,5,21,100,"100,150,200,250",0.023809523809523798,105,120,1.1428571428571428,10,105,105,106,4,"2,5,7,9",93,0.4968691436142149,0.9857142857142858,0.2222222222222222,98,0,2,0.6344365312107247,57.142857142857146,1,3,3,"0,3,5,9,13,16,19",24-598569,,24-598569,0 3 6 11 14 16 20,24-598569,5 4 4 3 3 3 2,60,22,12.428571428571429
24,,Cambodia,0 4 8 10 14 17 21,7,3,0,11,0.6530612244897959,32.6530612244898,0.00035430839002267487,0.018823081310526044,0.9455782312925171,0.9444444444444444,0.8559854460070276,4.523809523809524,1,6,21,100,"100,150,200",0.03951890034364262,97,120,1.2371134020618557,9,97,97,97,3,"2,8,9",80,0.4877261398732031,1,0.31746031746031744,86,0,0,0.6842157842157842,42.857142857142854,1,3,1,"0,2,6,9,13,16,20",24-1122885,,24-1122885,0 4 8 10 14 17 21,24-1122885,4 4 4 4 3 3 2,15,25,15
24,,Unique,0 2 4 10 14 16 19,7,5,0,11,1.346938775510204,67.3469387755102,0.0017715419501133796,0.04208968935634213,0.8877551020408163,0.9,0.8019909910188638,5.547619047619047,2,6,21,100,"100,150,200,250,300",0.03431372549019607,102,123,1.2058823529411764,10,102,102,111,5,"3,4,5,6,7",86,0.5161791955252656,0.8142857142857143,0.1428571428571429,108,10,16,0.6051948051948053,92.85714285714286,3,4,2,"0,4,6,9,14,16,18",24-344657,,24-344657,0 2 4 10 14 16 19,24-344657,6 5 4 3 2 2 2,120,22,13.857142857142858
24,,Unique,0 3 5 10 13 18 20,7,4,0,11,1.0612244897959184,53.06122448979592,0.000992063492063493,0.03149703941743562,0.9115646258503401,0.9166666666666666,0.8295299858146883,5.023809523809524,1,7,21,100,"100,150,200,250",0.022012578616352196,106,120,1.1320754716981132,10,106,106,108,3,"4,6,11",94,0.4957185534765893,0.95,0.17460317460317465,104,1,6,0.6285714285714286,71.42857142857143,2,3,1,"0,2,6,9,11,16,19",24-592453,,24-592453,0 3 5 10 13 18 20,24-592453,5 5 4 3 3 2 2,90,24,12.714285714285714
24,,Bali,0 4 6 10 14 16 20,7,2,0,11,0.8163265306122448,40.81632653061224,0.0005668934240362807,0.023809523809523798,0.9319727891156463,0.9166666666666666,0.8483160623691467,4.523809523809523,1,5,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 3 5 7 8 10,12-1387,0 4 6 10 14 16 20,24-1119301,4 4 4 4 4 2 2,3,20,9
24,,China,0 4 7 10 14 17 20,7,2,0,11,0.4897959183673469,24.489795918367346,0.00021258503401360476,0.014580296087995085,0.9591836734693877,0.9583333333333334,0.8636548296449087,4.523809523809523,0,5,21,150,"150,200",0.07429718875502007,83,120,1.4457831325301205,7,83,83,83,1,8,57,0.4903052244672909,1,0.4285714285714286,72,0,0,0.7857142857142858,28.571428571428573,0,5,2,"0,3,6,10,13,16,20",24-1123401,,24-1123401,0 4 7 10 14 17 20,24-1123401,4 4 4 3 3 3 3,5,25,14.285714285714286
